user_id,total_spend,active_days,avg_order_value
3159757.1355046671,314.0,1,314.0
73427198.7537900210,314.0,1,314.0
2541331.2931528712,311.0,1,311.0
5579434.4769739748,307.0,1,307.0
5558273.2492198100,305.0,1,305.0
3216886.8311598059,305.0,1,305.0
66036121.7799299870,305.0,1,305.0
1160488.2375923167,305.0,1,305.0
2608462.0797346127,304.0,2,152.0
2992162.7816495834,300.0,2,150.0
40652857.6013892710,300.0,1,300.0
8305679.2059616518,299.0,1,299.0
48981361.3028514075,299.0,1,299.0
64451489.6117020616,298.0,1,298.0
7221347.4127394632,298.0,1,298.0
9134268.2677185739,298.0,1,298.0
57065333.7001768225,295.0,1,295.0
25633378.1133836718,294.0,1,294.0
73497675.9720954301,294.0,2,147.0
5084920.8860557208,292.0,1,292.0
2897030438.4111142859,292.0,1,292.0
