user_id,total_spend,pct_rank,cumulative_revenue_ratio
50054690.0206427992,518.0,0.98769987699876993,0.89303494263664351
2808102.2330574481,517.0,0.98720787207872074,0.89160465533665589
3883375.8924071243,517.0,0.98720787207872074,0.89160465533665589
45732822.6958771748,514.0,0.98696186961869614,0.88874960308146844
8156646657.1507119761,508.0,0.98671586715867154,0.887330360471056
97950097.5837353470,491.0,0.986469864698647,0.8859276848950064
54019036.7189560758,490.0,0.98597785977859775,0.88457194924965143
51608821.0291355400,490.0,0.98597785977859775,0.88457194924965143
8635951.7155332526,484.0,0.98548585485854856,0.881866000303729
84288512.1820202145,484.0,0.98548585485854856,0.881866000303729
2095299.8404862362,483.0,0.985239852398524,0.87919318542653213
89140417.9002672475,480.0,0.98499384993849937,0.87785953916032744
28202253.7064162636,478.0,0.98474784747847477,0.87653417641130427
38970589.1095437937,477.0,0.98450184501845017,0.87521433600706855
35710256.3477753994,474.0,0.98425584255842558,0.87389725677522678
2660071.6760619641,466.0,0.984009840098401,0.87258846106056631
11495471.0749512812,465.0,0.98376383763837638,0.87130175472505622
5373799.6097004022,462.0,0.98351783517835178,0.87001780956194
91694984.1982284598,461.0,0.98327183271832719,0.86874214791600513
53406211.8724008214,460.0,0.98302583025830259,0.86746924744246412
47567788.3779803485,456.0,0.982779827798278,0.86619910814131684
1482564.3987701428,453.0,0.9825338253382534,0.8649400135297447
5637710.4936907752,452.0,0.9822878228782288,0.86368920243535408
1440737.0883647632,450.0,0.9820418204182042,0.86244115251335718
2972042.1160295830,449.0,0.98179581795817961,0.86119862493614785
43678268.2433515488,446.0,0.981549815498155,0.85995885853133236
7680193331.8740202405,443.0,0.98130381303813041,0.85872737564369828
80921507.1393350408,438.0,0.98105781057810582,0.8575041762732456
5002058.4107238120,437.0,0.98081180811808122,0.8562947827647619
7634543.7021985089,431.0,0.98056580565805662,0.855088150428672
87666696.5302025907,427.0,0.980319803198032,0.85389808512694487
30675676.3150878065,424.0,0.98007380073800743,0.852719064514793
67242982.0432343274,423.0,0.97982779827798283,0.85154832741982245
1415699.2356865981,416.0,0.97958179581795823,0.85038035149724578
4376619.9958221943,408.0,0.97933579335793353,0.84923170378142554
80208775.3915875119,406.0,0.97908979089790893,0.84810514544475579
25335187.2299023217,405.0,0.97884378843788433,0.84698410945287372
3099934.0263391283,404.0,0.97859778597785974,0.84586583463338538
8822878673.4974906772,398.0,0.97835178351783514,0.84475032098629077
9431683.5830577678,396.0,0.97810578105781054,0.843651374373559
72275845.1755516158,395.0,0.977859778597786,0.84255795010561485
2275313.5266564172,394.0,0.97761377613776135,0.84146728701006446
58881820.3673642140,393.0,0.97736777367773675,0.8403793850869079
5299488.0522490006,390.0,0.97712177121771215,0.83929424433614508
32820105.2111076078,386.0,0.976629766297663,0.83821738710256377
1793657.4173240079,386.0,0.976629766297663,0.83821738710256377
36794743.0115266107,384.0,0.97589175891758917,0.83608576201455143
